"","date","poc","poc_umol","poc_umol_kg"
"85",2017-05-02,234.691682979861,3984.99136548711,3.90424387172879
"86",2017-05-08,228.367000207909,3877.60023037885,3.7993640573325
"87",2017-05-17,238.915501989177,4056.71049105556,3.9794929101809
"88",2017-05-29,313.755838135209,5327.47598877318,5.21890334972524
"89",2017-06-05,245.969546746483,4176.48596453084,4.1002197347959
"90",2017-06-12,338.321052024264,5744.58563661541,5.64010421345783
"91",2017-06-19,341.796864130354,5803.60383894349,5.71112792325633
"92",2017-06-29,240.542101860138,4084.32964806437,4.00338552080402
"93",2017-07-07,230.340316783537,3911.10652857999,3.83819854098451
"94",2017-07-11,283.494949498476,4813.6555653213,4.71790596143155
"95",2017-07-17,259.495944753798,4406.15997164049,4.32902143510889
"96",2017-07-24,347.357958556572,5898.02948279146,5.79109839680261
